Cc1ccc(-c2nc(C)c(CC(=O)O)s2)c(C)c1 MolPort-008-682-498
CC(C)(C)C(Cc1ccc(Cl)nc1)C(=O)O MolPort-031-354-879
COc1cc2c(cc1OC)CN(C(=O)Cc1cc(C)[nH]c1C)CC2 MolPort-037-173-658
CCN(CC1CCNCC1)C(=O)C1CCC(C)O1 MolPort-024-241-383
Cc1cc(OCCOc2ccccc2F)c(C(=O)O)s1 MolPort-020-939-619
COc1ccc2c(CN)c(C(C)C)[nH]c2c1 MolPort-029-507-838
Cc1csc(C(C)CNCc2cccs2)n1 MolPort-032-424-561
CN1CN(C(=O)NCC2(c3ccc(Br)s3)CCC2)CC1=O MolPort-039-952-928
CC1CN(C(=O)NC2CCOc3ccccc32)CCCO1 MolPort-042-758-309
Cc1ccc(C(O)C(=O)Nc2cccc(C)c2C)cc1 MolPort-023-063-133
CCCn1cc(Oc2cnc(C(=O)O)cn2)cn1 MolPort-034-458-338
CC(C(=O)NCc1nc2cc(Br)ccc2o1)C1CCOCC1 MolPort-040-252-235
Cl.N[C@@H](CO)c1cc2c(cc1Br)OCO2 MolPort-028-650-851
O=C(O)c1cnc(-c2cccnc2)nc1NC1CC1 MolPort-023-128-558
Cc1nc(C2CCCN(C(=O)COc3ccc4c(c3)CCC(=O)N4)C2)n[nH]1 MolPort-039-972-216
Cc1ccc(N(C)S(=O)(=O)c2ccc(CN)s2)c(C)c1 MolPort-014-865-499
CCC1(NCc2ccc(OC)c(O)c2)CCC1 MolPort-035-344-221
CC(C)NCc1nnc(CCC2CCCC2)o1 MolPort-013-176-602
Cc1cc(C(N)CSC2CCCCC2)cs1 MolPort-026-681-407
Cc1csc(C(C)NC(=O)CCBr)n1 MolPort-008-739-629
CNC(C)Cc1noc(CCC2CCOCC2)n1 MolPort-045-401-388
COc1cc(C)c(C2(CN)CC2)c(C)c1Br MolPort-037-828-771
CC(C)Oc1ccccc1Nc1ccc(F)cc1CCN MolPort-022-963-379
COc1cc(OC)c(NC(=O)Cc2ccccc2)cc1Cl MolPort-002-085-350
