accession,target_type,pref_name,chembl_id,standard_value,standard_units,standard_type,pchembl_value,chembl_id_ligand,max_phase,standard_inchi,standard_inchi_key,hba,hbd,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,year,Activity_type,canonical_smiles (Canonical),ExactMW,QED
P48039,SINGLE PROTEIN,Melatonin receptor 1A,CHEMBL1945,"0,0082",nM,Ki,"11,09",CHEMBL1774522,,"InChI=1S/C21H21NO2/c1-14(23)22-11-9-17-19(15-5-3-2-4-6-15)13-16-7-8-20-18(21(16)17)10-12-24-20/h2-8H,9-13H2,1H3,(H,22,23)",UIGUZEMEJLIGSQ-UHFFFAOYSA-N,2,1,4,0,2,24,3,1,0,"0,14",2011,Active,CC(=O)NCCC1=C(c2ccccc2)Cc2ccc3c(c21)CCO3,"319,157228912","0,934634662223408"
P48039,SINGLE PROTEIN,Melatonin receptor 1A,CHEMBL1945,"0,01",nM,Ki,"11,0",CHEMBL330137,,"InChI=1S/C21H21NO3/c1-3-7-20(23)22-13-12-17-18-14-16(24-2)10-11-19(18)25-21(17)15-8-5-4-6-9-15/h3-6,8-11,14H,1,7,12-13H2,2H3,(H,22,23)",WBRCKMGTHHHOCG-UHFFFAOYSA-N,3,1,7,0,3,25,4,1,0,"0,0",2002,Active,C=CCC(=O)NCCc1c(-c2ccccc2)oc2ccc(OC)cc12,"335,152143532","0,653401840689271"
P48039,SINGLE PROTEIN,Melatonin receptor 1A,CHEMBL1945,"0,01",nM,Ki,"11,0",CHEMBL132802,,"InChI=1S/C17H19NO2/c1-11(19)18-10-14-7-6-12-4-3-5-13-8-9-15(20-2)17(14)16(12)13/h3-5,8-9,14H,6-7,10H2,1-2H3,(H,18,19)",CKDRYPAKQOQDCX-UHFFFAOYSA-N,2,1,3,0,2,20,3,1,0,"0,0",2000,Active,COc1ccc2cccc3c2c1C(CNC(C)=O)CC3,"269,141578848","0,929836022438231"
P48039,SINGLE PROTEIN,Melatonin receptor 1A,CHEMBL1945,"0,01",nM,Ki,"11,0",CHEMBL287560,,"InChI=1S/C19H19NO3/c1-13(21)20-11-10-16-17-12-15(22-2)8-9-18(17)23-19(16)14-6-4-3-5-7-14/h3-9,12H,10-11H2,1-2H3,(H,20,21)",YZKUZJRTQSAJNG-UHFFFAOYSA-N,3,1,5,0,3,23,4,1,0,"-0,14",2002,Active,COc1ccc2oc(-c3ccccc3)c(CCNC(C)=O)c2c1,"309,136493468","0,779934204926028"
P48039,SINGLE PROTEIN,Melatonin receptor 1A,CHEMBL1945,"0,012",nM,Ki,"10,92",CHEMBL336054,,"InChI=1S/C19H23NO3/c1-4-17(21)20-11-13-5-8-14-15(22-2)9-6-12-7-10-16(23-3)19(13)18(12)14/h6-7,9-10,13H,4-5,8,11H2,1-3H3,(H,20,21)",WNFSGBUJDTYDRC-UHFFFAOYSA-N,3,1,5,0,2,23,4,1,0,"-0,05",2000,Active,CCC(=O)NCC1CCc2c(OC)ccc3ccc(OC)c1c23,"313,167793596","0,919931888722827"
P48039,SINGLE PROTEIN,Melatonin receptor 1A,CHEMBL1945,"0,01259",nM,IC50,"10,9",CHEMBL139855,,"InChI=1S/C18H19N3O2/c1-12(22)19-9-8-15-16-10-14(23-2)11-20-18(16)21-17(15)13-6-4-3-5-7-13/h3-7,10-11H,8-9H2,1-2H3,(H,19,22)(H,20,21)",DXYPUTBSRFNDDU-UHFFFAOYSA-N,3,2,5,0,1,23,5,2,0,"-0,54",1998,Active,COc1c[nH]c2nc(-c3ccccc3)c(CCNC(C)=O)c-2c1,"309,147726848","0,761328533250338"
P48039,SINGLE PROTEIN,Melatonin receptor 1A,CHEMBL1945,"0,013",nM,Ki,"10,89",CHEMBL1774514,,"InChI=1S/C19H25NO2/c1-4-18(21)20-9-7-14-16(12(2)3)11-13-5-6-17-15(19(13)14)8-10-22-17/h5-6,12H,4,7-11H2,1-3H3,(H,20,21)",HVPNOUBTPAPTDK-UHFFFAOYSA-N,2,1,5,0,1,22,3,1,0,"0,14",2011,Active,CCC(=O)NCCC1=C(C(C)C)Cc2ccc3c(c21)CCO3,"299,18852904","0,903374803656857"
P48039,SINGLE PROTEIN,Melatonin receptor 1A,CHEMBL1945,"0,013",nM,Ki,"10,89",CHEMBL289233,,"InChI=1S/C13H15IN2O2/c1-8(17)15-6-5-10-11-7-9(18-2)3-4-12(11)16-13(10)14/h3-4,7,16H,5-6H2,1-2H3,(H,15,17)",FJDDSMSDZHURBJ-UHFFFAOYSA-N,2,2,4,0,2,18,4,2,0,"-0,52",2002,Active,COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,"358,01782572","0,825490552073377"
P48039,SINGLE PROTEIN,Melatonin receptor 1A,CHEMBL1945,"0,0138",nM,Ki,"10,86",CHEMBL1218,4,"InChI=1S/C16H21NO2/c1-2-15(18)17-9-7-12-4-3-11-5-6-14-13(16(11)12)8-10-19-14/h5-6,12H,2-4,7-10H2,1H3,(H,17,18)/t12-/m0/s1",YLXDSYKOBKBWJQ-LBPRGKRZSA-N,2,1,4,0,1,19,3,1,0,"0,17",2002,Active,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,"259,157228912","0,902180479056255"
P48039,SINGLE PROTEIN,Melatonin receptor 1A,CHEMBL1945,"0,015",nM,EC50,"10,82",CHEMBL3648356,,"InChI=1S/C15H18N2O2/c1-9(18)16-8-7-12-4-3-11-5-6-13-15(14(11)12)19-10(2)17-13/h5-6,12H,3-4,7-8H2,1-2H3,(H,16,18)/t12-/m0/s1",CCRUCMHMQXUZAT-LBPRGKRZSA-N,3,1,3,0,2,19,4,1,0,"-0,1",2021,Active,CC(=O)NCC[C@@H]1CCc2ccc3nc(C)oc3c21,"258,136827816","0,920505295533757"
