accession,target_type,pref_name,chembl_id,standard_value,standard_units,standard_type,pchembl_value,chembl_id_ligand,max_phase,standard_inchi,standard_inchi_key,hba,hbd,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,year,Activity_type,canonical_smiles (Canonical),ExactMW,QED
P21397,SINGLE PROTEIN,Monoamine oxidase A,CHEMBL1951,"0,1",nM,IC50,"10,0",CHEMBL209413,,"InChI=1S/C19H11F3N2O2/c1-26-12-5-6-13-14(8-12)17-15(18(13)25)9-16(23-24-17)10-3-2-4-11(7-10)19(20,21)22/h2-9H,1H3",BWEQEBUJVMCEEU-UHFFFAOYSA-N,4,0,2,0,3,26,4,0,0,"-0,86",2006,Active,COc1ccc2c(c1)-c1nnc(-c3cccc(C(F)(F)F)c3)cc1C2=O,"356,077262252","0,534764530837547"
P21397,SINGLE PROTEIN,Monoamine oxidase A,CHEMBL1951,"0,27",nM,IC50,"9,57",CHEMBL1929421,,"InChI=1S/C29H37N3O/c1-4-16-30(2)23-27-20-26-21-28(12-13-29(26)31(27)3)33-19-8-11-24-14-17-32(18-15-24)22-25-9-6-5-7-10-25/h1,5-7,9-10,12-13,20-21,24H,8,11,14-19,22-23H2,2-3H3",ADCBAOTWERXLAP-UHFFFAOYSA-N,4,0,10,1,3,33,4,0,1,"-1,0",2019,Active,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,"443,293662804","0,31271309706795"
P21397,SINGLE PROTEIN,Monoamine oxidase A,CHEMBL1951,"0,3",nM,Ki,"9,52",CHEMBL8706,"-1,0","InChI=1S/C13H15Cl2NO/c1-3-7-16(2)8-4-9-17-13-6-5-11(14)10-12(13)15/h1,5-6,10H,4,7-9H2,2H3",BTFHLQRNAMSNLC-UHFFFAOYSA-N,2,0,6,0,1,17,2,0,0,"-1,62",2016,Active,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,"271,05306946","0,581496035984433"
P21397,SINGLE PROTEIN,Monoamine oxidase A,CHEMBL1951,"0,389",nM,IC50,"9,41",CHEMBL3319256,,"InChI=1S/C15H11Cl2N3O/c1-20-14-5-2-9(6-10(14)8-18-20)15(21)19-11-3-4-12(16)13(17)7-11/h2-8H,1H3,(H,19,21)",OIDIFCINLNNUKU-UHFFFAOYSA-N,3,1,2,0,3,21,4,1,0,"-2,11",2017,Active,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21,"319,027917332","0,77148556443064"
P21397,SINGLE PROTEIN,Monoamine oxidase A,CHEMBL1951,"0,48",nM,Ki,"9,32",CHEMBL4104691,,"InChI=1S/C17H15Cl2N3O2/c1-24-7-6-22-16-5-2-11(8-12(16)10-20-22)17(23)21-13-3-4-14(18)15(19)9-13/h2-5,8-10H,6-7H2,1H3,(H,21,23)",CTHLAPNHCMOVBE-UHFFFAOYSA-N,4,1,5,0,3,24,5,1,0,"-2,34",2019,Active,COCCn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21,"363,05413208","0,736776940223566"
P21397,SINGLE PROTEIN,Monoamine oxidase A,CHEMBL1951,"0,6607",nM,IC50,"9,18",CHEMBL4061639,,"InChI=1S/C15H11ClFN3O/c1-20-14-5-2-9(6-10(14)8-18-20)15(21)19-11-3-4-13(17)12(16)7-11/h2-8H,1H3,(H,19,21)",ISZVIYGCASWHFG-UHFFFAOYSA-N,3,1,2,0,3,21,4,1,0,"-2,46",2017,Active,Cn1ncc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc21,"303,057467872","0,785762061286648"
P21397,SINGLE PROTEIN,Monoamine oxidase A,CHEMBL1951,"0,7",nM,IC50,"9,15",CHEMBL1256153,,"InChI=1S/C16H12N4/c1-2-6-12(7-3-1)10-14-16-19-17-11-20(16)15-9-5-4-8-13(15)18-14/h1-9,11H,10H2",QEOMUNIOZPWFSQ-UHFFFAOYSA-N,4,0,2,0,4,20,4,0,0,"-1,33",2021,Active,c1ccc(Cc2nc3ccccc3n3cnnc23)cc1,"260,106196384","0,55632656931836"
P21397,SINGLE PROTEIN,Monoamine oxidase A,CHEMBL1951,"0,72",nM,IC50,"9,14",CHEMBL3415804,,"InChI=1S/C11H13NO.C2H2O4/c1-4-6-12(3)8-10(2)11-5-7-13-9-11;3-1(4)2(5)6/h1,5,7,9H,2,6,8H2,3H3;(H,3,4)(H,5,6)",OMZXPQCNGXKHFT-UHFFFAOYSA-N,2,0,4,0,1,13,2,0,0,"-0,31",2015,Active,C#CCN(C)CC(=C)c1ccoc1,"175,099714036","0,64930024398544"
P21397,SINGLE PROTEIN,Monoamine oxidase A,CHEMBL1951,"0,72",nM,IC50,"9,14",CHEMBL3415804,,"InChI=1S/C11H13NO.C2H2O4/c1-4-6-12(3)8-10(2)11-5-7-13-9-11;3-1(4)2(5)6/h1,5,7,9H,2,6,8H2,3H3;(H,3,4)(H,5,6)",OMZXPQCNGXKHFT-UHFFFAOYSA-N,2,0,4,0,1,13,2,0,0,"-0,31",2015,Active,O=C(O)C(=O)O,"89,995308544","0,379949137755858"
P21397,SINGLE PROTEIN,Monoamine oxidase A,CHEMBL1951,"0,83",nM,IC50,"9,08",CHEMBL1651055,,"InChI=1S/C17H11NO2/c1-20-11-8-10-6-7-18-16-12-4-2-3-5-13(12)17(19)14(9-11)15(10)16/h2-9H,1H3",MTXYFFAYNUTIGA-UHFFFAOYSA-N,3,0,1,0,3,20,3,0,0,"0,61",2011,Active,COc1cc2c3c(nccc3c1)-c1ccccc1C2=O,"261,078978592","0,526496340727848"
